-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	3	60346	85705	47131	|	0.91183	0.78101	0.54992	0.64540	|	0.90866	0.75015	0.53992	0.62791	|	[4] <= [12, 15, 24], direct
4	3	47336	85705	42838	|	0.91936	0.90497	0.49983	0.64398	|	0.91867	0.89637	0.49744	0.63982	|	[4] <= [12, 15, 24], -iterate/-dimlex
4	4	66740	85705	48719	|	0.90635	0.72998	0.56844	0.63916	|	0.90465	0.71502	0.56336	0.63020	|	[4] <= [12, 15, 21, 27], direct
4	4	52772	85705	46443	|	0.92238	0.88006	0.54189	0.67076	|	0.92233	0.87957	0.54175	0.67051	|	[4] <= [12, 15, 21, 27], -iterate/-dimlex
4	3	62154	85705	46978	|	0.90823	0.75583	0.54813	0.63544	|	0.90658	0.74029	0.54298	0.62646	|	[4] <= [12, 15, 21], direct
4	3	50151	85705	44604	|	0.92058	0.88939	0.52043	0.65663	|	0.92004	0.88311	0.51866	0.65351	|	[4] <= [12, 15, 21], -iterate/-dimlex
4	4	61728	85705	45841	|	0.90508	0.74262	0.53486	0.62185	|	0.90388	0.73119	0.53100	0.61522	|	[4] <= [12, 15, 21, 24], direct
4	4	46197	85705	41354	|	0.91624	0.89516	0.48251	0.62704	|	0.91574	0.88875	0.48072	0.62395	|	[4] <= [12, 15, 21, 24], -iterate/-dimlex
4	5	66552	85705	50088	|	0.91133	0.75261	0.58442	0.65794	|	0.91024	0.74302	0.58130	0.65229	|	[4] <= [12, 15, 18, 24, 27], direct
4	5	51740	85705	47185	|	0.92666	0.91196	0.55055	0.68660	|	0.92662	0.91151	0.55043	0.68638	|	[4] <= [12, 15, 18, 24, 27], -iterate/-dimlex
4	4	74742	85705	53541	|	0.90914	0.71634	0.62471	0.66739	|	0.90752	0.70360	0.62049	0.65944	|	[4] <= [12, 15, 18, 27], direct
4	4	56703	85705	50241	|	0.92862	0.88603	0.58620	0.70559	|	0.92853	0.88517	0.58597	0.70514	|	[4] <= [12, 15, 18, 27], -iterate/-dimlex
4	3	65727	85705	49133	|	0.90948	0.74753	0.57328	0.64891	|	0.90812	0.73539	0.56926	0.64175	|	[4] <= [12, 15, 18], direct
4	3	51400	85705	46553	|	0.92509	0.90570	0.54317	0.67908	|	0.92497	0.90437	0.54281	0.67842	|	[4] <= [12, 15, 18], -iterate/-dimlex
4	4	68408	85705	49255	|	0.90533	0.72001	0.57470	0.63920	|	0.90399	0.70845	0.57074	0.63218	|	[4] <= [12, 15, 18, 24], direct
4	4	50330	85705	45403	|	0.92300	0.90210	0.52975	0.66751	|	0.92291	0.90111	0.52948	0.66702	|	[4] <= [12, 15, 18, 24], -iterate/-dimlex
4	5	65217	85705	50369	|	0.91456	0.77232	0.58770	0.66748	|	0.91371	0.76464	0.58527	0.66304	|	[4] <= [12, 15, 18, 21, 27], direct
4	5	51490	85705	46728	|	0.92553	0.90751	0.54521	0.68119	|	0.92552	0.90734	0.54517	0.68110	|	[4] <= [12, 15, 18, 21, 27], -iterate/-dimlex
4	4	64928	85705	48901	|	0.91005	0.75315	0.57057	0.64927	|	0.90916	0.74507	0.56792	0.64454	|	[4] <= [12, 15, 18, 21], direct
4	4	50430	85705	45130	|	0.92190	0.89490	0.52657	0.66301	|	0.92146	0.88978	0.52514	0.66047	|	[4] <= [12, 15, 18, 21], -iterate/-dimlex
4	5	62492	85705	48865	|	0.91408	0.78194	0.57015	0.65946	|	0.91323	0.77400	0.56765	0.65495	|	[4] <= [12, 15, 18, 21, 24], direct
4	5	49311	85705	45070	|	0.92360	0.91399	0.52587	0.66762	|	0.92315	0.90870	0.52442	0.66504	|	[4] <= [12, 15, 18, 21, 24], -iterate/-dimlex
4	6	69346	85705	55697	|	0.92567	0.80317	0.64986	0.71843	|	0.92473	0.79522	0.64760	0.71386	|	[4] <= [7, 15, 18, 21, 24, 27], direct
4	6	58293	85705	54338	|	0.93986	0.93215	0.63401	0.75470	|	0.93982	0.93170	0.63390	0.75448	|	[4] <= [7, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	70529	85705	56339	|	0.92584	0.79880	0.65735	0.72121	|	0.92487	0.79071	0.65506	0.71652	|	[4] <= [7, 18, 21, 24, 27], direct
4	5	59119	85705	54999	|	0.94071	0.93031	0.64172	0.75952	|	0.94068	0.93002	0.64165	0.75938	|	[4] <= [7, 18, 21, 24, 27], -iterate/-dimlex
4	4	75189	85705	58175	|	0.92416	0.77371	0.67878	0.72314	|	0.92284	0.76340	0.67585	0.71696	|	[4] <= [7, 21, 24, 27], direct
4	4	61720	85705	55703	|	0.93867	0.90251	0.64993	0.75567	|	0.93862	0.90199	0.64980	0.75540	|	[4] <= [7, 21, 24, 27], -iterate/-dimlex
4	3	82432	85705	60312	|	0.91911	0.73165	0.70371	0.71741	|	0.91721	0.71815	0.69981	0.70886	|	[4] <= [7, 24, 27], direct
4	3	65402	85705	58809	|	0.94298	0.89919	0.68617	0.77837	|	0.94290	0.89844	0.68599	0.77797	|	[4] <= [7, 24, 27], -iterate/-dimlex
4	2	75622	85705	57598	|	0.92146	0.76165	0.67204	0.71405	|	0.91949	0.74633	0.66755	0.70474	|	[4] <= [7, 27], direct
4	2	61535	85705	56128	|	0.94044	0.91213	0.65489	0.76240	|	0.94024	0.91022	0.65442	0.76141	|	[4] <= [7, 27], -iterate/-dimlex
4	1	66099	85705	51961	|	0.91848	0.78610	0.60627	0.68458	|	0.91685	0.77164	0.60183	0.67624	|	[4] <= [7], direct
4	1	54086	85705	49837	|	0.93170	0.92143	0.58149	0.71302	|	0.93086	0.91236	0.57908	0.70848	|	[4] <= [7], -iterate/-dimlex
4	2	72428	85705	55366	|	0.91930	0.76442	0.64600	0.70024	|	0.91756	0.75037	0.64175	0.69182	|	[4] <= [7, 24], direct
4	2	58290	85705	53132	|	0.93576	0.91151	0.61994	0.73797	|	0.93517	0.90555	0.61839	0.73492	|	[4] <= [7, 24], -iterate/-dimlex
4	3	80703	85705	60373	|	0.92226	0.74808	0.70442	0.72560	|	0.92049	0.73521	0.70080	0.71759	|	[4] <= [7, 21, 27], direct
4	3	66354	85705	59024	|	0.94209	0.88953	0.68868	0.77633	|	0.94193	0.88813	0.68834	0.77558	|	[4] <= [7, 21, 27], -iterate/-dimlex
4	2	83074	85705	60185	|	0.91758	0.72447	0.70223	0.71318	|	0.91575	0.71155	0.69845	0.70494	|	[4] <= [7, 21], direct
4	2	67966	85705	58766	|	0.93847	0.86463	0.68567	0.76482	|	0.93771	0.85810	0.68404	0.76124	|	[4] <= [7, 21], -iterate/-dimlex
4	3	79159	85705	59719	|	0.92266	0.75441	0.69679	0.72446	|	0.92104	0.74237	0.69338	0.71704	|	[4] <= [7, 21, 24], direct
4	3	65093	85705	58370	|	0.94201	0.89671	0.68105	0.77414	|	0.94140	0.89117	0.67970	0.77120	|	[4] <= [7, 21, 24], -iterate/-dimlex
4	4	75917	85705	58021	|	0.92240	0.76426	0.67698	0.71798	|	0.92109	0.75413	0.67406	0.71185	|	[4] <= [7, 18, 24, 27], direct
4	4	60312	85705	55281	|	0.93963	0.91658	0.64501	0.75718	|	0.93959	0.91613	0.64490	0.75695	|	[4] <= [7, 18, 24, 27], -iterate/-dimlex
4	3	80759	85705	59995	|	0.92088	0.74288	0.70001	0.72081	|	0.91915	0.73035	0.69643	0.71299	|	[4] <= [7, 18, 27], direct
4	3	65222	85705	58568	|	0.94247	0.89797	0.68336	0.77611	|	0.94233	0.89675	0.68307	0.77546	|	[4] <= [7, 18, 27], -iterate/-dimlex
4	2	82951	85705	58693	|	0.91271	0.70756	0.68482	0.69600	|	0.91085	0.69440	0.68076	0.68751	|	[4] <= [7, 18], direct
